DANH SÁCH TÀI LIỆU SỐ - THƯ VIỆN QNU;;;;;;;;;;;;;
STT;Tiêu đề;Tác giả;Tác giả phụ;Năm xuất bản;Nhà xuất bản;Chủ đề;Chuyên ngành;Học phần;Loại tài liệu;Kiểu tài liệu;Ngôn ngữ;Link URL;Ghi chú
1;Giáo trình Kế toán chi phí;Nguyễn Thị Lệ Hằng (chủ biên), Phạm Nguyễn Đình Tuấn;;2020;GT lưu hành nội bộ;Kế toán;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=2;KHÔNG CÓ FILE
2;Chăm sóc sức khỏe cộng đồng (tài liệu hướng dẫn thực hành dành cho cán bộ xã hội cấp cơ sở);Cục Bảo trợ xã hội;;2017;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=3;KHÔNG CÓ FILE
3;Chăm sóc sức khỏe cộng đồng (tài liệu hướng dẫn thực hành dành cho cán bộ xã hội cấp cơ sở);Cục Bảo trợ xã hội;;2017;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=3;KHÔNG CÓ FILE
4;Chăm sóc sức khỏe tâm thần;Bộ lao động thương binh xã hội – Cục bảo trợ - Đề án 32;;2012;;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=4;KHÔNG CÓ FILE
5;Chăm sóc sức khỏe tâm thần;Bộ lao động thương binh xã hội – Cục bảo trợ - Đề án 32;;2012;;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=4;KHÔNG CÓ FILE
6;Giáo trình Kế toán quản trị 2;Nguyễn Ngọc Tiến (chủ biên);;2017;GT lưu hành nội bộ;Kế toán;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=5;KHÔNG CÓ FILE
7;Giáo trình Kế toán quản trị 2;Nguyễn Ngọc Tiến (chủ biên);;2017;GT lưu hành nội bộ;Kế toán;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=5;KHÔNG CÓ FILE
8;Công cụ Pra phương pháp đánh giá nông thôn có người dân tham gia;Trung tâm Nghiên cứu - Tư vấn Công tác xã hội và Phát triển cộng đồng.;;2007;NXB Tp. Hồ Chí Minh;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=6;KHÔNG CÓ FILE
9;Công cụ Pra phương pháp đánh giá nông thôn có người dân tham gia;Trung tâm Nghiên cứu - Tư vấn Công tác xã hội và Phát triển cộng đồng.;;2007;NXB Tp. Hồ Chí Minh;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=6;KHÔNG CÓ FILE
10;Công tác xã hội với các dân tộc thiểu số (tài liệu hướng dẫn thực hành dành cho cán bộ xã hội cấp cơ sở);Cục Bảo trợ xã hội;;2017;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=7;CÓ FILE
11;Giáo trình Kế toán tài chính 1;Trần Thị Cẩm Thanh (Chủ biên);;2015;GT lưu hành nội bộ;Tài chính;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=8;KHÔNG CÓ FILE
12;Dịch vụ xã hội phục vụ phát triển con người;Viện Khoa học Xã hội Việt Nam, tổ chức UNDP;;2011;NXB Khoa học Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=9;KHÔNG CÓ FILE
13;Dịch vụ xã hội phục vụ phát triển con người;Viện Khoa học Xã hội Việt Nam, tổ chức UNDP;;2011;NXB Khoa học Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=9;KHÔNG CÓ FILE
14;Giáo trình công tác xã hội với người cao tuổi;PGS.TS. Nguyễn Thị Kim Hoa;;2012;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=10;KHÔNG CÓ FILE
15;Giáo trình công tác xã hội với người cao tuổi;PGS.TS. Nguyễn Thị Kim Hoa;;2012;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=10;KHÔNG CÓ FILE
16;Giáo trình Công tác xã hội với người khuyết tật;PGS.TS. Nguyễn Thị Kim Hoa;;2014;Đại học Quốc gia Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=11;KHÔNG CÓ FILE
17;Giáo trình Công tác xã hội với người khuyết tật;PGS.TS. Nguyễn Thị Kim Hoa;;2014;Đại học Quốc gia Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=11;KHÔNG CÓ FILE
18;Giáo trình Công tác xã hội với người mại dâm;Th.S Tiêu Thị Minh Hường, Th.S Nguyễn Thị Vân;;2012;NXB Lao động - Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=12;KHÔNG CÓ FILE
19;Giáo trình Công tác xã hội với người mại dâm;Th.S Tiêu Thị Minh Hường, Th.S Nguyễn Thị Vân;;2012;NXB Lao động - Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=12;KHÔNG CÓ FILE
20;Giáo trình Công tác xã hội với người nghèo;Nguyễn Thị Chinh;;2012;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=13;KHÔNG CÓ FILE
21;Giáo trình Công tác xã hội với người nghèo;Nguyễn Thị Chinh;;2012;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=13;KHÔNG CÓ FILE
22;Giáo trình Địa lý Kinh tế- xã hội Việt Nam;Lê Thông (chủ biên), Nguyễn Minh Tuệ, Nguyễn Văn Phú, Lê Thị Mỹ Dung;;2010;Nxb Đại học Sư phạm, Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=15;KHÔNG CÓ FILE
23;Giáo trình Địa lý Kinh tế- xã hội Việt Nam;Lê Thông (chủ biên), Nguyễn Minh Tuệ, Nguyễn Văn Phú, Lê Thị Mỹ Dung;;2010;Nxb Đại học Sư phạm, Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=15;KHÔNG CÓ FILE
24;Giáo trình nhập môn công tác xã hội;Bùi Thị Xuân Mai chủ biên;;2010;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=16;KHÔNG CÓ FILE
25;Giáo trình nhập môn công tác xã hội;Bùi Thị Xuân Mai chủ biên;;2010;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=16;KHÔNG CÓ FILE
26;Giáo trình Phát triển cộng đồng;TS. Nguyễn Kim Liên;;2010;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=17;KHÔNG CÓ FILE
27;Giáo trình Phát triển cộng đồng;TS. Nguyễn Kim Liên;;2010;NXB Lao động – Xã hội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=17;KHÔNG CÓ FILE
28;Giáo trình Tâm lý học đại cương;Huỳnh Văn Sơn (chủ biên);;2012;Nxb Đại học Sư phạm TP. Hồ Chí Minh;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=18;KHÔNG CÓ FILE
29;Giáo trình Tâm lý học đại cương;Huỳnh Văn Sơn (chủ biên);;2012;Nxb Đại họcSư phạm TP. Hồ Chí Minh;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=18;KHÔNG CÓ FILE
30;Hành vi lệch chuẩn;Trung tâm Nghiên cứu – Tư vấn CTXH & PTCĐ;;2014;Dự án “Nâng cao năng lực cho NVXH cơ sở ở Tp.HCM”;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=19;KHÔNG CÓ FILE
31;Hành vi lệch chuẩn;Trung tâm Nghiên cứu – Tư vấn CTXH & PTCĐ;;2014;Dự án “Nâng cao năng lực cho NVXH cơ sở ở Tp.HCM”;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=19;KHÔNG CÓ FILE
32;Nhập môn Xã hội học;TS Trần Thị Kim Xuyến;;2007;ĐHQG TPHCM;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=20;KHÔNG CÓ FILE
33;Nhập môn Xã hội học;TS Trần Thị Kim Xuyến;;2007;ĐHQG TPHCM;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=20;KHÔNG CÓ FILE
34;Quản lý trường hợp (tài liệu hướng dẫn thực hành dành cho cán bộ xã hội cấp cơ sở);Cục Bảo trợ xã hội;;2016;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=21;KHÔNG CÓ FILE
35;Quản lý trường hợp (tài liệu hướng dẫn thực hành dành cho cán bộ xã hội cấp cơ sở);Cục Bảo trợ xã hội;;2016;Cục Bảo trợ xã hội (Tài liệu được biện soạn theo Đề án 32 về phát triển nghề Công tác xã hội);Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=21;KHÔNG CÓ FILE
36;Tài liệu môn Công tác xã hội với người di cư và Nạn nhân buôn bán người;TS. Nguyễn Hiệp Thương;;2017;NXB Đại học Sư phạm Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=22;KHÔNG CÓ FILE
37;Tài liệu môn Công tác xã hội với người di cư và Nạn nhân buôn bán người;TS. Nguyễn Hiệp Thương;;2017;NXB Đại học Sư phạm Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=22;KHÔNG CÓ FILE
38;"tài liệu: ""Sổ tay phát triển cộng đồng";PGS.TS. LÊ VĂN AN, TS. NGÔ TÙNG ĐỨC;;2016;NXB Thanh Niên;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=23;KHÔNG CÓ FILE
39;"tài liệu: ""Sổ tay phát triển cộng đồng";PGS.TS. LÊ VĂN AN, TS. NGÔ TÙNG ĐỨC;;2016;NXB Thanh Niên;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=23;KHÔNG CÓ FILE
40;Xã hội học về dư luận xã hội;Nguyễn Qúy Thanh;;2011;NXB Đại học Quốc gia Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=24;KHÔNG CÓ FILE
41;Xã hội học về dư luận xã hội;Nguyễn Qúy Thanh;;2011;NXB Đại học Quốc gia Hà Nội;Công tác xã hội;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=24;KHÔNG CÓ FILE
42;Complete IELTS: Bands 4-5 (B1): Student’s Book, Cambridge:;Brook-Hart, G. & Jakeman. V;;2012;Cambridge University Press;Ngôn ngữ Anh;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=25;KHÔNG CÓ FILE
43;English for Marketing and Advertising;Gore, S.,;;2012;Oxford;Ngôn ngữ Anh;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=26;KHÔNG CÓ FILE
44;English for Negotiating;Lafond, C., Vine, S. & Welch, B.;;2010;Oxford University Press;Ngôn ngữ Anh;;;;;;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=27;KHÔNG CÓ FILE
