ten_sach;so_trang;nguoi_so_hoa;link
Bông Sen Vàng;319;Tuấn;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80439
Chuyển Đổi Số Trong Giáo Dục;226;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80316
Cơ Sở Thổ Nhưỡng Và Địa Lý Thổ Nhưỡng;170;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80339
Đường Bác Hồ Đi Cứu Nước;440;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80440
Giáo Dục Học;127;nan;https://lib.qnu.edu.vn/tracuutailieuso2xemchitiet.aspx?Id=79318
Giáo Trình Hóa Học Môi Trường;412;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80195
Giáo Trình Lịch Sử Tư Tưởng Xhcn;303;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80457
Lược Sử Thời Gian;284;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80314
Phát Triển Văn Hóa Việt Nam;463;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=81267
Ứng Dụng Ai Trong Giáo Dục;197;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80317
Ứng Dụng Trí Tuệ Nhân Tạo Ai Trong Dạy Và Học Địa Lý;122;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80315
Vấn Đề An Ninh Phi Truyền Thống Trong Quan Hệ Quốc Tế Hiện Nay;331;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80427
Việt Nam Các Vùng Kinh Tế Và Vùng Kinh Tế Trọng Điểm;623;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80328
Tên Sách;SỐ TRANG;NGƯỜI SỐ HÓA;Link tài liệu số
Tuần 38 (Từ 08/09 - 12/09/2025);;nan;
M4;;nan;
Cảnh Quan Lưu Vực Sông Cho Phát Triển Nông Lâm Nghiệp Bền Vững;259;Tuấn;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80342
Cơ Sở Cảnh Quan Học;160;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80349
Địa Lý Du Lịch Việt Nam;355;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80313
Giáo Trình Địa Tin Học Ứng Dụng;747;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?Id=80334
Giáo Trình Lý Luận Và Pháp Luật Về Phòng, Chống Tham Nhũng;299;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80519
Giáo Trình Quản Lý Nhà Nước Về Kinh Tế Đối Ngoại;299;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80470
Giáo Trình Tâm Lý Học Tư Pháp;166;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80472
Hội Nhập Kinh Tế Quốc Tế;791;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?Id=80329
Phương Pháp Nghiên Cứu Khoa Học Luật;199;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80471
Tài Nguyên Đất Và Vấn Đề Thoái Hóa Đất;172;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?Id=80347
Trắc Địa;248;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80348
Xã Hội Học Về Bình Đẳng Giới;249;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80443
530A.000130;880;Trúc;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80573
Giáo Trình Kỹ Thuật Số;243;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80544
Từ Học Và Vật Liệu Từ;313;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80524
Phương Pháp Luận Nckh Dạy Học Vật Lí;393;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80546
Phương Trình Toán Lý;346;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80545
Tuần 39 (Từ 22/09 - 28/09/2025);;nan;
M4;;nan;
An Ninh Phi Truyền Thống Trong Hội Nhập Quốc Tế;941;Tuấn;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80527
Các Hợp Đồng Thương Mại Thông Dụng;387;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80527
Các Quá Trình Công Nghệ Cơ Bản Trong Sản Xuất Thực Phẩm;138;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80536
Đánh Giá Cảnh Quan;178;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80525
Dạy Học Vật Lý Ở Trường Phổ Thông Theo Định Hướng Phát Triển Hoạt Động Tích Cực, Tự Chủ, Sáng Tạo Và Tư Duy Khoa Học;200;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80514
Giáo Trình Công Nghệ Bảo Quản Và Chế Biến Rau, Quả;176;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80537
Giáo Trình Công Nghệ Lạnh Thủy Sản;395;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80534
Giáo Trình Công Nghệ Sinh Học Nông Nghiệp;163;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?Id=80522
Giáo Trình Luật Quốc Tế Về Môi Trường;392;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80528
Giáo Trình Luật Thương Mại Quốc Tế;434;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuTruyenThong2Xem.aspx?ItemId=37392
Giáo Trình Pháp Luật Trọng Tài Thương Mại;352;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80520
Giáo Trình Pháp Luật Về Tranh Chấp Thương Mại Quốc Tế;422;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuTruyenThong2Xem.aspx?ItemId=37393
Thống Kê Và Ứng Dụng;275;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?Id=80574
Giáo Trình Kỹ Thuật Mạch Điện Tử;225;Trúc;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80547
Tự Học Điện Tử Orcad 9.2;243;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80548
Infinite Series And Differential Equations;180;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80549
X-Ray Diffraction Crystallography - 540A.000127;318;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80557
The Physics Of Vibrations And Waves, 6Th - 530A.000129;571;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80572
Nhập Môn Về Siêu Dẫn;160;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80543
Kỷ Yếu Hội Thảo Khoa Học Quốc Tế;196;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80578
Hướng Dẫn Tổ Chức Hđtn, Hướng Nghiệp Thcs Theo Chương Trình Gdpt 2018;133;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80757
Tuần 40 (Từ 29/09 - 05/10/2025);;nan;
M4;;nan;
Tên Sách;SỐ TRANG;NGƯỜI SỐ HÓA;
Đánh Giá Tác Động Môi Trường Các Dự Án Phát Triển;254;Tuấn;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80571
Để Hoàn Thành Tốt Luận Văn Ngành Luật;383;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80538
Giáo Trình Phân Tích Môi Trường;147;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80553
Giáo Trình Phụ Gia Thực Phẩm;466;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80533
Giáo Trình Quy Hoạch Sử Dụng Đất Đai;224;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80552
Giáo Trình Tư Pháp Quốc Tế;591;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80542
Khai Thác Khoáng Sản Rắn Bằng Phương Pháp Lộ Thiên;537;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80529
Khai Thác Và Bảo Vệ Tài Nguyên Nước Dưới Đất;337;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80530
Kỹ Thuật Môi Trường;746;nan;https://lib.qnu.edu.vn/TraCuuTaiLieuSo2XemChiTiet.aspx?id=80551
